Z_PK,LATITUDE,LONGITUDE
1,48.961264,23.062295
2,49.717267,23.988198
3,49.714418,23.653642
6,49.228506,23.185897
7,49.1439,23.69669
8,48.482852,22.815522
9,49.844166,24.160511
10,49.228994,23.887415
11,49.626774,22.865657
14,49.836815,23.968739
15,49.988207,23.198928
16,49.557227,24.214457
17,49.826998,23.949203
18,49.165548,23.719788
21,50.378125,24.666748
22,49.455994,23.03586
23,49.732059,23.190926
24,49.856443,23.633715
25,50.074114,24.332871
26,49.66946,23.195241
27,50.056318,23.868256
28,49.387451,23.552795
29,49.439004,24.277455
30,49.282261,23.085104
31,50.131066,23.846521
32,48.997676,23.097673
35,49.715108,23.748668
36,49.791528,24.31218
37,49.866905,24.239016
38,49.712697,24.975147
39,49.540507,24.565334
40,49.908722,23.442641
41,49.817063,24.0774
42,49.458737,23.177579
45,49.787413,24.075094
46,49.801679,23.197314
47,49.920887,23.73502
48,49.801704,24.018635
49,49.760615,23.925764
50,48.871714,23.472074
51,49.164986999999996,23.71824
52,48.161673,23.298189
53,49.820835,23.96982
56,49.521703,23.186836
57,49.834354,23.40797
60,50.155795,24.417728
61,49.821122,23.917162
62,49.722188,23.651817
63,49.856607,24.041751
64,49.77886,23.906609
65,49.633913,22.826124
68,50.259576,24.891901
69,50.047126,24.427584
70,50.273318,24.828602
71,50.475156,24.290327
72,49.651467,24.020752
73,49.195619,25.909279
74,49.337501,24.192811
75,49.761041,24.265514
76,49.973566,24.46949
77,49.136663,22.987503
78,48.951932,23.063169
79,49.12776,23.674663
80,50.253715,24.911737
81,49.179609,23.059239
83,49.764446,23.843219
85,50.350277,24.324117
86,49.412391,24.258466
87,49.707851,24.345308
88,49.746413,24.030921
89,49.230726,22.997379
90,49.249383,23.849645
91,49.790486,23.474826
92,49.361088,23.601520999999998
93,50.026261,23.339163
96,46.938523,32.062398
97,49.822505,23.519471
98,49.841911,24.034332
99,50.23285,24.37402
100,49.520679,23.069328
101,49.984269,24.692001
102,49.539185,24.611041
105,49.869348,24.221129
106,49.7279,23.333494
107,49.969122,23.415087
108,49.801962,24.045496
109,50.150615,23.997677
110,49.767029,23.642108
111,49.733274,24.25751
112,49.924906,24.635154
113,49.810313,23.640109
114,49.845381,24.025083
117,49.803677,23.893183
118,49.8546,24.046511
119,48.947614,23.335584
120,49.393568,23.228442
121,49.634206,23.317028
122,49.977046,24.090049
123,50.164266,24.091656
124,49.765849,23.837244
125,49.259274,23.841838
126,50.056863,24.795598
127,50.121502,23.959928
128,49.826384,24.135783
129,49.202396,23.234802
130,50.275816,24.796648
133,49.804176,23.811911
134,48.91611,22.968761
135,49.844424,23.983938
136,49.912088,24.030415
137,49.394496,22.830771
140,49.869565,24.01827
141,49.479403,23.096426
142,49.539501,24.356666
143,49.616463,23.994905
144,48.713768,23.184719
145,49.662402,23.890608
148,49.275025,24.226282
149,49.087985,22.986191
150,49.894691,24.131735
151,49.751147,23.781369
152,49.748575,24.150642
153,49.715995,23.847503
154,49.805178,23.951815
155,49.845469,24.008235
156,50.167609,24.177448
157,49.835323,23.994919
158,48.831656,37.560108
161,49.743487,24.147081
162,50.514754,30.813284
163,49.624743,24.813588
164,49.840145,24.027176
165,49.203897,23.49636
166,49.826971,23.954443
167,50.119385,25.075957
168,49.802181,24.135946
169,49.127299,23.876122
171,49.465815,23.328639
172,49.306099,23.441937
174,49.397012,24.339674
175,49.603322,34.525863
176,49.483419,22.750794
177,49.862498,24.060662
178,49.286956,23.50317
179,49.554213,24.188445
180,49.943904,24.181778
181,49.234995,22.855127
182,49.51634,23.211816
185,49.790235,24.074184
186,49.695751,24.27189
187,49.477192,24.208784
188,49.838133,23.868088
189,50.125303,23.776191
190,49.869925,25.340917
191,49.01459,23.169047
194,49.47286,23.799881
195,49.305137,24.095893
196,49.28388,23.438929
197,49.471163,23.076759
198,49.854259,24.022707
199,49.259675,24.10463
200,49.826028,22.980811
203,49.818696,24.427066
204,49.687561,23.54246
205,49.802838,23.225082
206,49.898532,23.768776
207,49.711034,24.000557
208,49.711246,24.190508
209,49.848202,23.637472
210,49.823901,24.517134
213,49.33046,24.104439
214,49.265103,23.390608
215,50.127492,23.448671
216,49.817626,24.003327
217,50.145065,23.746187
218,49.635974,23.730906
219,50.084118,23.749151
220,49.619178,23.869512
221,49.960455,24.104652
223,49.845407,23.978221
225,49.858124,24.047501
226,47.874579,29.625221
227,49.917315,23.968161
230,48.39511,22.313723
231,50.338816,24.207063
232,49.711925,23.912046
233,49.26099,23.900858
234,49.701545,24.229539
235,50.229382,23.634092
238,49.789353,24.141327
239,49.904201,24.093661
240,49.789627,24.058667
241,49.020615,23.000425
242,49.604193,23.767967
243,50.638032,24.367639
244,49.006006,23.448564
245,49.873361,24.119035
248,48.545786,22.938797
249,49.309633,23.691302
250,49.379227,23.456858
251,49.517196,23.129288
252,49.975057,24.602967
253,49.8231,24.136904
254,50.03417,23.375346
255,49.977204,24.028379
256,49.749565,24.138525
257,49.458427,23.177598
260,49.308779,23.508647
261,49.905002,24.950504
262,49.92127,24.301893
263,49.71794,24.593176
264,50.309696,24.20375
265,49.975935,23.193612
266,49.740375,24.167928
267,49.197593,23.058548
268,49.829997,23.99031
269,49.724223,24.124889
270,49.037215,23.04522
273,49.620931,24.82164
274,49.498867,22.738214
275,49.826153,23.204647
276,49.574762,22.956124
277,48.409497,22.641258
278,49.830503,23.769015
279,49.732822,23.066209
280,49.785503,24.058821
281,49.78718,23.383485
282,50.226486,23.623957
285,49.817811,24.146345
286,49.423943,22.824362
287,49.83944,23.995577
288,49.339062,22.771316
289,49.785977,23.684818
290,49.386317,24.098359
291,50.065795,25.059836
292,49.518084,24.213188
293,49.464353,24.267719
296,49.950431,23.992288
297,49.246206,23.344097
298,49.839828,23.995341
299,49.527981,22.87265
300,50.015122,23.374047
303,49.43094,24.046298
304,49.587491,24.062682
305,49.212673,23.858104
306,49.580319,23.668839
307,49.209567,23.758373
308,49.790973,24.067575
309,49.924352,23.317151
310,49.810572,24.340173
311,49.10891,23.49226
312,49.813349,23.984515000000002
315,49.21235,22.778643
316,49.286784,22.854551999999998
317,49.934657,24.366339
318,49.932259,23.11789
319,49.858738,23.986415
322,49.173852,23.186014
323,49.757399,25.022854
324,49.811367,24.050735
325,49.281151,24.327726
326,49.902927,23.112224
327,48.920103,23.307931
328,49.854536,23.311698
329,49.838196,25.231895
330,49.264287,22.988718
331,49.740223,24.247519
332,49.813625,24.060068
333,49.918732,24.160346
334,49.870512,23.833246
335,49.915558,23.918314
338,49.579922,24.681479
339,49.332666,23.003876
340,49.911031,23.396235
341,49.272773,23.870851000000002
342,49.840513,24.085748
343,49.810528,23.944756
344,49.376915,23.527348
345,49.639096,24.29417
346,49.784881,23.954566
347,50.1492,23.808277
350,48.788944,28.472217
351,50.121185,23.960878
352,49.539451,23.899683
353,49.975915,24.345908
354,49.272787,23.404397
355,49.41091,24.278752
356,49.842469,24.035198
357,50.027998,23.427099
358,49.870313,24.020671
359,50.233959,23.792161
360,50.318946,24.868359
361,49.634037,23.316556
364,50.468136,24.27593
365,49.924717,23.565024
366,49.832776,23.835386
367,49.909493,24.054225
368,49.550463,23.917718
369,49.840046,24.042749
370,49.643411,24.019176
373,49.706401,24.053853
374,49.635153,24.355184
375,49.786982,23.67084
376,49.834178,24.036181
377,49.903656,23.939837
378,48.90055,23.056844
379,49.910232,23.740612
380,49.850219,23.993114
381,49.143758,23.696874
382,50.090329,23.769151
383,49.019934,23.000854
384,49.850152,24.632554
387,49.471446,23.386887
388,49.949049,24.055462
389,49.506591,22.762305
390,50.320471,26.88514
391,50.073764,23.347677
392,49.456254,24.311495
393,49.628524,25.484356
394,49.471571,23.955975
395,49.557515,24.214559
396,49.760943,23.828785
397,49.822858,23.519562
398,49.138847,23.643955
399,49.523437,23.887852
402,50.093938,24.338693
403,50.034706,24.516094
404,49.456032,23.036434
405,49.821828,24.075175
406,49.762793,24.014732
407,49.849117,23.408342
408,49.872684,24.129134
409,49.965186,24.943231
410,49.786242,24.075535
411,49.324231,23.459851
412,51.306604,25.998786
413,50.025994,24.137974
414,49.792101,23.146674
417,49.944033,25.31702
418,48.808648,23.512126
419,49.569805,23.749952
422,50.052014,24.479953
423,49.82357,23.990007
424,50.774426,29.295122
425,49.846859,23.99066
426,49.428987,23.75132
427,49.192448,24.201966
428,49.540408,24.565175
429,49.480149,24.354347
432,49.422181,24.025827
433,50.165876,24.438907
434,49.712934,24.215419
435,49.844981,25.056391
436,50.475294,24.289912
437,49.865292,24.043612
438,49.873325,24.050205
439,49.768808,23.840277
440,49.807305,24.068978
441,49.617556,22.848102
442,49.230743,23.347413
444,49.870907,24.005325
446,49.822568,24.523041
447,49.698431,23.718761
448,50.056022,23.86765
449,49.847587,23.191646
450,49.834108,24.034178
451,49.21799,24.258198
452,49.313541,24.037064
453,49.235608,23.175083
454,49.822258,24.032255
455,50.109243,24.294069
456,49.04185,23.654353
459,49.895094,23.946089
460,49.760849,23.925648
461,49.81294,24.342105
462,49.465523,24.030293
463,49.39304,37.037261
464,50.049907,25.209048
465,49.914201,24.27047
467,49.838265,23.925142
469,49.239066,24.306402
470,49.203326,24.128866
471,50.244537,24.831554
472,49.556551,22.807405
473,49.915382,23.922697
474,49.867097,24.23875
475,49.859797,23.898122
478,49.259762,23.975746
479,49.117228,22.956972
480,49.84457,24.152224
481,50.178104,23.518292
482,49.810782,24.046157
483,49.992239,33.320801
486,49.7724,24.102116
487,49.242722,22.839938
488,50.154846,24.032507
491,50.07856,24.749322
492,48.710677,32.689831
493,50.047694,24.331826
494,49.834074,24.052181
495,50.036018,24.193911
496,49.715437,23.952731
497,48.945117,22.600776
498,49.35848,23.512199
499,49.826897,23.946467
500,49.836441,24.00563
503,49.849479,23.995622
504,49.810871,23.936926
505,49.786043,24.364131
506,48.972484,23.256449
507,49.854825,24.046709
508,49.826272,23.968002
509,49.817349,24.002823
510,50.205578,23.713198
513,49.015999,23.098337
514,49.790568,23.4755
515,49.136084,23.656875
518,49.822521,24.00664
519,49.834555,23.408186
520,49.958824,24.610085
523,49.802085,24.017408
524,50.358285,24.216263
525,49.195552,23.069049
526,49.275166,24.226121
527,49.677344,23.153852
530,50.358641,24.216871
531,49.824174,24.51656
532,49.182292,23.691021
533,49.919967,23.734971
534,50.057468,24.598055
535,49.798376,24.049183
536,49.795703,24.073613
537,49.261026,24.280903
540,49.26103,23.901075
541,49.470108,24.1483
542,50.004756,24.723105
543,49.751268,24.015094
544,48.493023,22.848625
545,49.44301,23.002268
548,50.350325,24.322452
549,49.224172,24.183817
550,49.832812,24.040076
551,49.207552,24.301303
552,49.71472,24.185138
553,49.733393,24.250292
554,49.751135,23.780672
555,50.026002,23.339426
558,49.186893,23.0723
559,49.852369,24.033233
560,49.861927,24.050493
561,49.617383,23.995529
562,49.810466,23.639857
563,49.309894,23.691277
564,48.871340000000004,23.472071
565,49.261084,23.856881
568,49.287093,23.503457
569,50.155738,24.417114
570,49.665026,22.986678
571,49.808077,23.838208
572,49.615066,23.053885
